name,price,quantity,description
"Wireless Mouse",24.99,150,"Ergonomic wireless mouse with adjustable DPI and long battery life"
"Bluetooth Headphones",79.90,85,"Over-ear noise-cancelling headphones with built-in microphone"
"4K Monitor",349.99,40,"27-inch UHD monitor with HDR10 and ultra-thin bezels"
"Portable SSD",129.50,120,"1TB USB-C portable solid state drive for fast external storage"
"Mechanical Keyboard",99.95,75,"RGB backlit mechanical keyboard with tactile switches"
"Smartphone Stand",15.00,240,"Adjustable desktop stand for phones and tablets"
"Desk Lamp",45.00,60,"LED desk lamp with touch control and adjustable brightness"
"USB-C Hub",39.99,110,"7-in-1 USB-C hub with HDMI, Ethernet, and multiple USB ports"
"Fitness Tracker",59.99,95,"Waterproof fitness tracker with heart rate monitoring"
"Wireless Charger",29.99,160,"Fast Qi wireless charger pad for smartphones"
"Coffee Maker",89.99,55,"12-cup programmable drip coffee maker with auto shutoff"
"Air Fryer",119.90,45,"6-quart air fryer for healthier cooking with easy cleanup"
"Vacuum Cleaner",179.99,30,"Bagless upright vacuum cleaner with HEPA filtration"
"Yoga Mat",25.00,200,"Non-slip yoga mat with carrying strap for home workouts"
"Water Bottle",18.50,300,"Insulated stainless steel water bottle keeps drinks cold or hot"
"Noise Machine",34.95,75,"White noise machine with multiple sound profiles for sleep"
"Smart Plug",22.99,180,"Wi-Fi smart plug compatible with voice assistants"
"Laptop Sleeve",27.99,140,"Neoprene laptop sleeve fits most 13-inch laptops"
"Wireless Charger Stand",39.50,90,"2-in-1 charging stand for phones and earbuds"
"Portable Projector",229.99,25,"Mini portable projector with HDMI input for home cinema"